date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:56	142072/142072	---M--	200	added ('OK')	font/ttf	etag:W/%22142072-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.ttf?v=4.5.0	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.ttf	(from http://dtcpass.delhi.gov.in/css/style.css)
12:15:58	189358/189358	---M--	200	added ('OK')	image/svg+xml	etag:W/%22189358-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.svg	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/Flaticon.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:00	169/169	---M--	200	added ('OK')	text/html	etag:W/%22169-1516858082000%22	http://dtcpass.delhi.gov.in/css/Flaticon.html	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/css/Flaticon.html	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:02	42072/42072	---M--	200	added ('OK')	font/ttf	etag:W/%2242072-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.ttf	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/Flaticon.ttf	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:19	79756/79756	---M--	200	added ('OK')	font/woff2	etag:W/%2279756-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.woff2?v=1.4.57	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.woff2	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:39	208688/208688	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22208688-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.eot?v=1.4.57	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:40	102552/102552	---M--	200	added ('OK')	font/woff	etag:W/%22102552-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.woff?v=1.4.57	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:42	208688/208688	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22208688-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfontd41d.eot?	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfontd41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:48	1581343/1581343	---M--	200	added ('OK')	image/svg+xml	etag:W/%221581343-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.svg?v=1.4.57	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:50	689/689	---M--	200	added ('OK')	image/png	etag:W/%22689-1516858084000%22	http://dtcpass.delhi.gov.in/images/photoswipe-controls.png	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/images/photoswipe-controls.png	(from http://dtcpass.delhi.gov.in/css/style.css)
